"animal_id","engl_name","author","citation","img"
"06200004D6","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200004D6.jpg"
"041868E9A8","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868E9A8.jpg"
"041868D100","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868D100.jpg"
"041869015E","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041869015E.jpg"
"041868BD8C","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868BD8C.jpg"
"041868D645","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868D645.jpg"
"06200003AA","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200003AA.jpg"
"041868D861","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868D861.jpg"
"041869123C","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041869123C.jpg"
"0418690C15","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0418690C15.jpg"
"062000031A","Mountain Chickadee","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000031A.jpg"
"041868D396","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868D396.jpg"
"0620000455","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000455.jpg"
"0620000400","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000400.jpg"
"062000036A","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000036A.jpg"
"041868BED6","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868BED6.jpg"
"06200003CF","House Sparrow","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200003CF.jpg"
"0620000425","House Sparrow","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000425.jpg"
"0620000358","House Sparrow","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000358.jpg"
"0620000394","House Sparrow","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000394.jpg"
"062000053B","House Sparrow","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000053B.jpg"
"0620000518","House Sparrow","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000518.jpg"
"062000042B","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000042B.jpg"
"062000013B","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000013B.jpg"
"0620000486","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000486.jpg"
"062000036D","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000036D.jpg"
"06200004C6","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200004C6.jpg"
"06200003A2","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200003A2.jpg"
"0620000513","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000513.jpg"
"0620000514","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000514.jpg"
"0620000520","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000520.jpg"
"0620000523","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000523.jpg"
"041868E794","Dark-eyed Junco","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868E794.jpg"
"0620000477","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000477.jpg"
"06200004FB","Dark-eyed Junco","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200004FB.jpg"
"041868E56A","Dark-eyed Junco","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868E56A.jpg"
"04186901FD","Dark-eyed Junco","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/04186901FD.jpg"
"041868C226","Dark-eyed Junco","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868C226.jpg"
"041868C1AC","Dark-eyed Junco","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868C1AC.jpg"
"06200004D0","House Sparrow","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200004D0.jpg"
"0418690218","Song Sparrow","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0418690218.jpg"
"0620000102","House Finch","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000102.jpg"
"041868FF93","Mountain Chickadee","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868FF93.jpg"
