species,img,citation,author
unknown,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Bird01.svg/442px-Bird01.svg.png,https://commons.wikimedia.org/wiki/File%3ABird01.svg,Lionel Allorge CC
House Finch,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/House_Finch-27527-2.jpg/320px-House_Finch-27527-2.jpg,https://commons.wikimedia.org/wiki/File%3AHouse_Finch-27527-2.jpg,Ken Thomas PD
Mountain Chickadee,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Poecile_gambeli%2C_Walden%2C_Colorado_1.jpg/320px-Poecile_gambeli%2C_Walden%2C_Colorado_1.jpg,https://commons.wikimedia.org/wiki/File%3APoecile_gambeli%2C_Walden%2C_Colorado_1.jpg,Ron Knight CC
House Sparrow,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Passer_domesticus_-British_Columbia_%2C_Canada_-male-8a.jpg/640px-Passer_domesticus_-British_Columbia_%2C_Canada_-male-8a.jpg,https://commons.wikimedia.org/wiki/File%3APasser_domesticus_-British_Columbia_%2C_Canada_-male-8a.jpg,tgreyfox CC
Dark-eyed Junco,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Oregon_Junco_in_Kelowna%2C_BC.jpg/640px-Oregon_Junco_in_Kelowna%2C_BC.jpg,https://commons.wikimedia.org/wiki/File%3AOregon_Junco_in_Kelowna%2C_BC.jpg,Blalonde CC
Song Sparrow,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Melospiza-melodia-001.jpg/624px-Melospiza-melodia-001.jpg,https://commons.wikimedia.org/wiki/File:Melospiza-melodia-001.jpg,Factumquintus CC
Violet Sabrewing,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Violet_sabrewing_hummingbird_male.jpg/640px-Violet_sabrewing_hummingbird_male.jpg,https://commons.wikimedia.org/wiki/File%3AViolet_sabrewing_hummingbird_male.jpg,Charlesjsharp CC
Green Hermit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Green_Hermit%2C_Phaethornis_guy.jpg/640px-Green_Hermit%2C_Phaethornis_guy.jpg,https://commons.wikimedia.org/wiki/File%3AGreen_Hermit%2C_Phaethornis_guy.jpg,Mike Baird CC
Stripe-throated Hermit,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Phaethornis_striigularis.jpg/593px-Phaethornis_striigularis.jpg,https://commons.wikimedia.org/wiki/File%3APhaethornis_striigularis.jpg,Jerry Oldenettel CC
Rufous-tailed Hummingbird,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Rufous-tailed_Hummingbird_JCB.jpg/400px-Rufous-tailed_Hummingbird_JCB.jpg,https://commons.wikimedia.org/wiki/File%3ARufous-tailed_Hummingbird_JCB.jpg,Joseph C Boone CC
